-1.0000000000,-0.0000000000
-0.9000000000,-0.1587020181
-0.8000000000,-0.2282535639
-0.7000000000,-0.1997218684
-0.6000000000,-0.1058013454
-0.5000000000,-0.0000000000
-0.4000000000,0.0705342303
-0.3000000000,0.0855950865
-0.2000000000,0.0570633910
-0.1000000000,0.0176335576
-0.0000000000,0.0000000000
0.1000000000,0.0176335576
0.2000000000,0.0570633910
0.3000000000,0.0855950865
0.4000000000,0.0705342303
0.5000000000,0.0000000000
0.6000000000,-0.1058013454
0.7000000000,-0.1997218684
0.8000000000,-0.2282535639
0.9000000000,-0.1587020181
1.0000000000,-0.0000000000
