2.8447340395,3.4992848302,2.4189707633,2.0229700798,1.7842995807,1.2432394490
3.3745695089,3.1772291165,2.5611760820,4.4348780960,1.0785582671,0.8996776318
2.2228913257,0.4893085742,0.4358794736,3.2873356615,0.7366675416,0.4221650320
4.0817919540,0.9099852639,4.2968556860,4.2915117549,3.5461466240,0.7048930721
5.6025464198,1.6104781714,1.5410282315,4.8137280294,0.0838207480,0.3619735467
5.8686564518,0.0704538762,0.8108628619,1.8461599507,3.5343107532,0.3543512454
1.0515945804,3.2357981104,2.8644315122,1.3295992384,4.7188457196,0.6842316899
2.6709793336,5.6659470587,5.9054613176,3.8878565747,1.5213502804,0.4231563319
2.8530322073,5.0367528123,5.8975698708,5.0927080703,5.2184517434,0.3722062029
3.5065184390,4.2744549928,0.8999104371,3.4346425172,3.8473744961,0.8197977696
4.3624647821,3.0060718328,3.2338374051,2.8693743098,2.9142376107,1.4418684756
4.7659371844,3.3857312980,5.5335413913,3.1699205442,0.7668549194,0.5075635935
1.1471566317,5.8316452307,3.1361644610,1.6502159477,5.0155760656,0.4473422703
4.1643960007,0.3334765845,2.7201769373,5.0399399224,2.8882621711,0.5643880292
2.3773195956,3.2656244612,1.0906894114,0.4391838952,3.0823590340,0.6382306695
3.3426329210,4.7845744097,5.3069351964,4.9682841661,0.6878791296,0.4377498174
5.5804283145,3.3796867938,5.6568357998,4.7791793677,1.8715136945,0.4291751668
2.3575063296,3.9317995300,1.5754959385,1.5781543695,1.2309090466,0.7428544036
3.6968282385,3.6883252340,2.5743605355,2.4539735064,1.4117154766,1.1159066786
3.7471537510,4.9527416761,0.2905936663,1.6211341982,1.3189070311,0.4664251781
4.7127405187,0.4143186959,5.4162929602,3.5012171130,5.2938866845,0.3850473148
3.3468419064,5.4404251139,3.5319108555,5.3528290499,3.9080528452,0.5643574082
4.0211394049,0.7220988912,0.3890471696,1.3653322911,1.3312704168,0.4254335987
0.0703395726,3.4827864485,3.7411843288,1.4085352698,0.1556236891,0.4001827431
3.4802643744,1.5969656909,4.7614180634,2.1813153072,4.9225026776,0.6817555576
0.6660267837,5.3806380442,4.0218600223,2.0470851669,3.7639004029,0.5361741446
